league_key,temporada,n_bets,clv_promedio,pct_clv_positivo
EPL,2122,89,0.03420173778012484,0.6853932584269663
EPL,2223,69,-0.004434464134105791,0.4057971014492754
EPL,2324,34,0.03463212567459334,0.6470588235294118
EPL,2425,43,0.02577922003260551,0.627906976744186
EPL,2526,21,0.013795398975683408,0.5714285714285714
EPL,TOTAL,256,0.020756557617208495,0.5859375
LALIGA,2122,90,0.029109508640179853,0.6111111111111112
LALIGA,2223,58,0.018104404359149184,0.5689655172413793
LALIGA,2324,51,0.024189080255237604,0.6274509803921569
LALIGA,2425,40,0.056274423662229324,0.825
LALIGA,2526,15,0.03737853949564022,0.6666666666666666
LALIGA,TOTAL,254,0.03037484000940052,0.6417322834645669
SERIEA,2122,44,0.037919562119670756,0.5681818181818182
SERIEA,2223,84,0.008300401472234233,0.44047619047619047
SERIEA,2324,37,0.006031045654075424,0.6216216216216216
SERIEA,2425,50,0.02246592255172889,0.64
SERIEA,2526,26,0.037140814778792344,0.6923076923076923
SERIEA,TOTAL,241,0.019409960406510482,0.5601659751037344
BUNDESLIGA,2122,49,0.013173593790987636,0.5918367346938775
BUNDESLIGA,2223,64,0.017749016028779995,0.546875
BUNDESLIGA,2324,41,0.02231266828669816,0.6829268292682927
BUNDESLIGA,2425,35,0.015320284804985143,0.6285714285714286
BUNDESLIGA,2526,14,0.005269200409232662,0.6428571428571429
BUNDESLIGA,TOTAL,203,0.016286902932308746,0.6059113300492611
