bucket_type,bucket,n,win_rate,flat_roi,league_key
magnitud de edge,08-15%,145,0.3931034482758621,-0.12675862068965515,EPL
magnitud de edge,15-25%,79,0.46835443037974683,0.10316455696202532,EPL
magnitud de edge,25-40%,25,0.4,-0.09799999999999999,EPL
magnitud de edge,40%+,7,0.5714285714285714,0.5842857142857143,EPL
rango de cuota,1.00-1.50,3,0.3333333333333333,-0.53,EPL
rango de cuota,1.50-2.00,50,0.56,-0.011799999999999998,EPL
rango de cuota,2.00-2.50,93,0.44086021505376344,0.004838709677419361,EPL
rango de cuota,2.50-3.00,110,0.34545454545454546,-0.06236363636363638,EPL
magnitud de edge,08-15%,156,0.5256410256410257,0.18134615384615385,LALIGA
magnitud de edge,15-25%,78,0.38461538461538464,-0.0825641025641026,LALIGA
magnitud de edge,25-40%,20,0.35,-0.144,LALIGA
rango de cuota,1.00-1.50,4,0.75,0.03999999999999998,LALIGA
rango de cuota,1.50-2.00,54,0.5740740740740741,0.036296296296296285,LALIGA
rango de cuota,2.00-2.50,89,0.48314606741573035,0.09719101123595505,LALIGA
rango de cuota,2.50-3.00,106,0.39622641509433965,0.08679245283018867,LALIGA
magnitud de edge,08-15%,165,0.44242424242424244,-0.019818181818181815,SERIEA
magnitud de edge,15-25%,66,0.3787878787878788,-0.08848484848484849,SERIEA
magnitud de edge,25-40%,10,0.3,-0.23900000000000002,SERIEA
rango de cuota,1.00-1.50,1,0.0,-1.0,SERIEA
rango de cuota,1.50-2.00,56,0.48214285714285715,-0.14303571428571432,SERIEA
rango de cuota,2.00-2.50,89,0.43820224719101125,-0.02022471910112362,SERIEA
rango de cuota,2.50-3.00,91,0.37362637362637363,0.0034065934065933973,SERIEA
magnitud de edge,08-15%,126,0.47619047619047616,0.0565079365079365,BUNDESLIGA
magnitud de edge,15-25%,61,0.32786885245901637,-0.2511475409836066,BUNDESLIGA
magnitud de edge,25-40%,14,0.35714285714285715,-0.20500000000000002,BUNDESLIGA
magnitud de edge,40%+,2,0.0,-1.0,BUNDESLIGA
rango de cuota,1.00-1.50,3,0.6666666666666666,-0.040000000000000036,BUNDESLIGA
rango de cuota,1.50-2.00,38,0.5526315789473685,-0.0002631578947368423,BUNDESLIGA
rango de cuota,2.00-2.50,99,0.43434343434343436,-0.01636363636363635,BUNDESLIGA
rango de cuota,2.50-3.00,62,0.3064516129032258,-0.16645161290322574,BUNDESLIGA
