liga,eventos,casas_por_evento,pct_con_sharp,overround,dispersion,premio_mejor,score
soccer_uefa_europa_conference_league,18,11.0,0.0,0.1021,0.0827,0.1131,3.215
soccer_uefa_nations_league,28,17.0,0.0,0.084,0.04863,0.0701,2.239
soccer_germany_dfb_pokal,1,9.0,0.0,0.0596,0.01256,0.4052,2.229
soccer_argentina_primera_division,27,21.0,55.6,0.0939,0.03263,0.0606,1.254
soccer_netherlands_eredivisie,21,21.0,42.9,0.0933,0.02463,0.0803,1.232
soccer_switzerland_superleague,14,32.0,35.7,0.0876,0.01575,0.0673,1.044
soccer_usa_mls,29,35.0,51.7,0.0939,0.01849,0.0817,0.992
soccer_belgium_first_div,14,26.0,42.9,0.0902,0.01373,0.0779,0.95
soccer_spl,18,26.0,33.3,0.0789,0.01101,0.0609,0.932
soccer_austria_bundesliga,10,18.0,20.0,0.0938,0.006,0.0579,0.93
soccer_england_league1,23,26.0,39.1,0.0894,0.01428,0.0489,0.924
soccer_brazil_campeonato,30,16.0,30.0,0.0777,0.00814,0.0629,0.897
soccer_efl_champ,25,31.0,36.0,0.0721,0.0109,0.0519,0.878
soccer_sweden_allsvenskan,10,31.0,70.0,0.091,0.0206,0.0847,0.871
soccer_denmark_superliga,9,36.0,55.6,0.0866,0.0164,0.0665,0.86
soccer_conmebol_copa_libertadores,4,25.0,100.0,0.0951,0.02597,0.097,0.739
soccer_chile_campeonato,11,25.0,54.5,0.0984,0.01097,0.0663,0.733
soccer_conmebol_copa_sudamericana,4,16.0,75.0,0.0935,0.01527,0.0943,0.712
soccer_portugal_primeira_liga,10,32.0,70.0,0.0811,0.01363,0.0867,0.7
soccer_brazil_serie_b,12,22.5,83.3,0.099,0.0212,0.0651,0.7
soccer_mexico_ligamx,12,30.5,75.0,0.0875,0.01647,0.069,0.674
soccer_japan_j_league,30,7.0,33.3,0.085,0.00348,0.0332,0.667
soccer_spain_la_liga,35,22.0,60.0,0.0606,0.00795,0.0796,0.638
soccer_italy_serie_a,33,24.0,60.6,0.0656,0.00854,0.069,0.618
soccer_poland_ekstraklasa,11,31.0,72.7,0.0957,0.01178,0.0726,0.588
soccer_saudi_arabia_pro_league,15,18.0,60.0,0.13,0.00732,0.0651,0.583
soccer_germany_bundesliga,27,30.0,66.7,0.0673,0.006,0.0947,0.562
soccer_france_ligue_two,10,34.5,90.0,0.0898,0.01748,0.0671,0.545
soccer_england_league2,12,29.0,100.0,0.0929,0.0221,0.0574,0.535
soccer_uefa_europa_league,18,29.0,100.0,0.0873,0.01784,0.0832,0.497
soccer_turkey_super_league,9,31.0,88.9,0.085,0.01371,0.0735,0.478
soccer_epl,30,30.0,66.7,0.0616,0.00468,0.0729,0.47
soccer_germany_liga3,10,20.0,100.0,0.105,0.01302,0.1103,0.448
soccer_korea_kleague1,8,28.0,75.0,0.1132,0.00983,0.0467,0.447
soccer_uefa_champs_league,21,34.0,85.7,0.0643,0.00772,0.1019,0.435
soccer_france_ligue_one,18,32.5,100.0,0.0696,0.01632,0.0734,0.432
soccer_spain_segunda_division,12,32.0,91.7,0.0985,0.01265,0.0733,0.422
soccer_greece_super_league,7,27.0,85.7,0.0913,0.00865,0.0769,0.391
soccer_germany_bundesliga2,10,34.0,90.0,0.0888,0.0088,0.0824,0.367
soccer_sweden_superettan,8,22.0,100.0,0.1065,0.01224,0.0592,0.291
soccer_norway_eliteserien,8,34.0,100.0,0.0833,0.00964,0.0833,0.29
soccer_china_superleague,8,25.0,100.0,0.0927,0.01016,0.0691,0.265
soccer_uefa_champs_league_women,7,5.0,100.0,0.1047,0.00849,0.0727,0.233
soccer_italy_serie_b,10,30.0,100.0,0.096,0.00753,0.081,0.231
soccer_concacaf_leagues_cup,2,26.0,100.0,0.0675,0.00961,0.0539,0.21
soccer_italy_coppa_italia,4,22.0,100.0,0.0861,0.007,0.0599,0.161
soccer_league_of_ireland,1,12.0,100.0,0.0982,0.00716,0.0503,0.139
soccer_russia_premier_league,8,6.0,100.0,0.0663,0.00576,0.05,0.103
