market,predicted_prob,market_prob,odds,actual
EPL,0.181558019121618,0.2479575463288271,4.05,1
EPL,0.2222341632292711,0.2933791989596333,3.46,0
EPL,0.5962078176491107,0.4586632547115394,2.05,0
EPL,0.5394122857834049,0.5858648481091135,1.56,1
EPL,0.227261059249555,0.2329510229386236,4.57,0
EPL,0.23332665496704,0.1811841289522628,5.96,0
EPL,0.2826689446373269,0.2990260614867454,3.3,0
EPL,0.3128237182276506,0.3114061213572157,3.12,0
EPL,0.4045073371350224,0.3895678171560388,2.51,1
EPL,0.6857468765727305,0.7299449469130949,1.26,1
EPL,0.1971589750024553,0.1811344868265828,6.24,0
EPL,0.1170941484248143,0.0889205662603224,12.74,0
EPL,0.4782567681577859,0.4766697784944412,2.01,1
EPL,0.2658640473961505,0.2832385640329288,3.56,0
EPL,0.2558791844460636,0.24009165747263,4.1,0
EPL,0.5686471974840097,0.5543211893481457,1.73,1
EPL,0.2431426469400631,0.258781244894625,3.79,0
EPL,0.1882101555759271,0.1868975657572291,5.47,0
EPL,0.213717635706691,0.2656984026155331,3.18,1
EPL,0.2328309431935657,0.2918716780970632,3.31,0
EPL,0.5534514210997432,0.4424299192874036,2.47,0
EPL,0.1137558218419334,0.139697950377562,8.35,0
EPL,0.159545308667316,0.1995685005393743,5.86,0
EPL,0.7266988694907505,0.6607335490830637,1.36,1
EPL,0.2554997608110976,0.2824652296481381,3.21,0
EPL,0.2466760132593222,0.2753041393190303,3.59,0
EPL,0.49782422592958,0.4422306310328315,2.32,1
EPL,0.1989519122925566,0.1635916770866456,5.56,1
EPL,0.2251042844978189,0.2297981911075939,4.09,0
EPL,0.5759438032096243,0.6066101318057605,1.67,0
EPL,0.7195906898563318,0.7826086956521741,1.21,1
EPL,0.1776107581662248,0.144927536231884,6.98,0
EPL,0.1027985519774433,0.072463768115942,15.68,0
EPL,0.5085300256779398,0.522406330879817,1.83,1
EPL,0.2493681165765052,0.2550652320483702,3.99,0
EPL,0.2421018577455549,0.2225284370718127,4.4,0
EPL,0.4212822874402536,0.3649825650163597,2.65,0
EPL,0.2586203357675347,0.3056728982012012,3.28,1
EPL,0.3200973767922118,0.329344536782439,2.95,0
EPL,0.4538491423288537,0.4545792276257364,2.39,0
EPL,0.2635446553308277,0.2776549259645833,3.51,1
EPL,0.2826062023403184,0.2677658464096803,3.14,0
EPL,0.8851253257265358,0.8647066648929095,1.11,1
EPL,0.080157112865282,0.0977118531328987,11.28,0
EPL,0.0347175614081821,0.0375814819741918,26.2,0
EPL,0.5487044789120666,0.5496723532502005,1.75,1
EPL,0.2475202130491306,0.2756103630381286,3.55,0
EPL,0.2037753080388026,0.1747172837116708,5.8,0
EPL,0.1588601726393605,0.1717837747113759,5.32,0
EPL,0.1975085801491649,0.2200376440123242,4.41,1
EPL,0.6436312472114745,0.6081785812762998,1.64,0
EPL,0.2543447615212082,0.3320008780341278,3.25,0
EPL,0.2733874656707304,0.3169587670552353,3.15,0
EPL,0.4722677728080613,0.3510403549106369,2.52,1
EPL,0.270315474141343,0.2175970205030434,4.9,0
EPL,0.2845700834001867,0.2750524135572178,3.83,0
EPL,0.4451144424584702,0.5073505659397386,1.79,1
EPL,0.3922811330260208,0.3884645772978667,2.61,1
EPL,0.2547071833956587,0.279694495654464,3.51,0
EPL,0.3530116835783204,0.3318409270476692,2.82,0
EPL,0.6343086858769688,0.7188750789972614,1.26,1
EPL,0.2149945782016537,0.1880134821992837,6.28,0
EPL,0.1506967359213775,0.0931114388034548,12.59,0
EPL,0.5702489169225833,0.465852727966425,2.02,0
EPL,0.2321516732681915,0.2937809996184662,3.63,1
EPL,0.1975994098092252,0.2403662724151087,3.95,0
EPL,0.3748117936004967,0.4166580475479839,2.37,0
EPL,0.3036620491474949,0.3003516600422583,3.29,0
EPL,0.3215261572520083,0.2829902924097578,3.37,1
EPL,0.4121589955136741,0.3894571676320106,2.55,0
EPL,0.2531172537377991,0.2722945656702915,3.52,1
EPL,0.3347237507485268,0.3382482666976977,2.9,0
EPL,0.1681645760669798,0.2220951342925127,4.47,0
EPL,0.1991347669653188,0.266272095609552,3.54,0
EPL,0.6327006569677013,0.5116327700979351,1.93,1
EPL,0.6267236088763586,0.6129991886775443,1.59,0
EPL,0.2197028607392708,0.2436671774993239,4.07,1
EPL,0.1535735303843705,0.1433336338231317,6.64,0
EPL,0.3842470721185897,0.3961562656561356,2.52,0
EPL,0.2830952159711311,0.2912220167174569,3.36,1
EPL,0.3326577119102792,0.3126217176264074,3.06,0
EPL,0.2456235044999875,0.2918778051252352,3.15,0
EPL,0.2534501923470919,0.2716085131026495,3.58,1
EPL,0.5009263031529207,0.4365136817721152,2.35,0
EPL,0.7316971661853573,0.6760917534766767,1.45,1
EPL,0.163826601772617,0.209370349463745,4.42,0
EPL,0.1044762320420257,0.1145378970595781,9.04,0
EPL,0.1746342280886201,0.1979587144615797,5.14,0
EPL,0.2371753988263728,0.2568253848146283,3.51,0
EPL,0.588190373085007,0.5452159007237921,1.83,1
EPL,0.2015978788729254,0.2474851621952623,4.42,1
EPL,0.2418878931670593,0.293563480682068,3.47,0
EPL,0.5565142279600152,0.4589513571226696,1.96,0
EPL,0.7074772701647507,0.6777099487380188,1.53,1
EPL,0.1752534477729975,0.1987581112388487,4.57,0
EPL,0.1172692820622518,0.1235319400231325,6.5,0
EPL,0.2673390704595307,0.3115624278790676,2.93,0
EPL,0.273410384494626,0.3261020078467574,3.19,0
EPL,0.4592505450458433,0.3623355642741749,2.72,1
EPL,0.179230800203879,0.1736027482348169,5.87,0
EPL,0.2163416746668878,0.2350957698987159,4.26,0
EPL,0.6044275251292331,0.5913014818664674,1.61,1
EPL,0.7281333742740599,0.808266328890847,1.19,1
EPL,0.1588267978728011,0.1301905496200022,7.56,0
EPL,0.1130398278531388,0.0615431214891507,16.42,0
EPL,0.2463472944164175,0.3096815211284265,2.93,0
EPL,0.2350216152806511,0.2756601709199515,3.48,1
EPL,0.5186310903029313,0.414658307951622,2.54,0
EPL,0.2783663897085138,0.266456961237262,3.47,0
EPL,0.2690998222928423,0.3046408248413556,3.22,0
EPL,0.4525337879986438,0.4289022139213823,2.36,1
EPL,0.5927799141687363,0.7237897527997406,1.31,1
EPL,0.2279241698608805,0.1816201052564405,5.51,0
EPL,0.1792959159703832,0.0945901419438189,12.17,0
EPL,0.2356040656172686,0.1937554712576597,4.54,0
EPL,0.2233663149107164,0.2179749051648672,4.15,0
EPL,0.541029619472015,0.588269623577473,1.78,1
EPL,0.5119991672541411,0.548472427965205,1.74,1
EPL,0.2818869086123291,0.2765668333648909,3.83,0
EPL,0.2061139241335297,0.174960738669904,5.35,0
EPL,0.2807204924647716,0.3006268315628976,3.05,0
EPL,0.2421748372356617,0.2612398937378121,3.69,1
EPL,0.4771046702995667,0.4381332746992903,2.36,0
EPL,0.5124880997576033,0.5332660939728028,1.93,0
EPL,0.2579510590493981,0.2853441380029909,3.3,0
EPL,0.2295608411929985,0.1813897680242062,4.98,1
EPL,0.2076382155439447,0.2481711753422845,3.87,0
EPL,0.2570465443497462,0.2579932535220584,3.57,0
EPL,0.5353152401063089,0.4938355711356572,2.06,1
EPL,0.7270947690237841,0.7564664436080041,1.22,1
EPL,0.1683458400493533,0.1591911439240335,6.87,0
EPL,0.1045593909268625,0.0843424124679624,15.6,0
EPL,0.820903661577018,0.8232186357001493,1.16,0
EPL,0.1169260987768295,0.1187528105288723,8.48,1
EPL,0.0621702396461524,0.0580285537709782,19.72,0
EPL,0.4047558760201057,0.406401725637131,2.21,0
EPL,0.2427756364590329,0.2976985285062267,3.48,0
EPL,0.3524684875208613,0.2958997458566422,3.53,1
EPL,0.4354378373112932,0.4489704502147265,2.42,1
EPL,0.2790740105033809,0.2828773356844231,3.44,0
EPL,0.2854881521853259,0.2681522141008503,3.15,0
EPL,0.3277552345846979,0.3836148320714424,2.83,1
EPL,0.2822910973435665,0.302853814793244,3.25,0
EPL,0.3899536680717355,0.3135313531353134,2.77,0
EPL,0.2728275473209716,0.2263659030650457,4.69,0
EPL,0.2444224217597503,0.2574240216913844,3.9,0
EPL,0.482750030919278,0.5162100752435699,1.81,1
EPL,0.2891579631085098,0.2328767123287671,4.98,0
EPL,0.277023380913351,0.2876712328767123,4.02,0
EPL,0.4338186559781392,0.4794520547945206,1.74,1
EPL,0.2886015993254912,0.3352120030099667,2.74,0
EPL,0.2817423791048393,0.304928052582275,3.3,0
EPL,0.4296560215696693,0.3598599444077583,2.83,1
EPL,0.595995090291185,0.6863193174893357,1.41,0
EPL,0.2124388772660133,0.1910928295754621,5.12,0
EPL,0.1915660324428016,0.1225878529352021,8.13,1
EPL,0.5997275276831073,0.5739773670550903,1.65,1
EPL,0.223716887540902,0.2554349539250402,3.91,0
EPL,0.1765555847759906,0.1705876790198695,6.09,0
EPL,0.3276914903847235,0.3179704453859667,3.17,0
EPL,0.2520834282052567,0.2705383899968999,3.73,0
EPL,0.4202250814100197,0.4114911646171334,2.28,1
EPL,0.5816929376164175,0.5695682921079799,1.6,0
EPL,0.2380680708533331,0.2497337896165758,4.09,1
EPL,0.1802389915302494,0.1806979182754444,6.37,0
EPL,0.3608839778339239,0.4531626234446766,2.26,0
EPL,0.2364443642394355,0.2741824276303926,3.42,1
EPL,0.4026716579266404,0.2726549489249308,3.47,0
EPL,0.1011105802610651,0.1235663396504037,7.48,0
EPL,0.1529387630594517,0.1955226418564621,4.51,1
EPL,0.7459506566794831,0.680911018493134,1.49,0
EPL,0.4127022424847767,0.4550754023571156,2.7,0
EPL,0.2778657976719788,0.2860854137625142,3.27,0
EPL,0.3094319598432444,0.25883918388037,2.89,1
EPL,0.4020597334283125,0.4349417456377176,2.29,1
EPL,0.2749583784760298,0.2878290963779014,3.3,0
EPL,0.3229818880956576,0.2772291579843809,3.54,0
EPL,0.2981051505985852,0.3308008181971978,3.14,0
EPL,0.2956043342076864,0.3118377139693329,3.21,1
EPL,0.4062905151937284,0.3573614678334691,2.56,0
EPL,0.5895537004610115,0.6258918729827664,1.51,0
EPL,0.2287817817373672,0.2254945316058003,4.37,1
EPL,0.1816645178016211,0.1486135954114331,7.59,0
EPL,0.4748500491461493,0.4912104070899625,1.9,0
EPL,0.2536386359788678,0.2715301972525071,3.69,1
EPL,0.2715113148749828,0.2372593956575304,4.42,0
EPL,0.6465170425307456,0.6678248809174949,1.4,1
EPL,0.2105275523007751,0.2070115342122171,4.91,0
EPL,0.1429554051684793,0.1251635848702879,9.22,0
EPL,0.632195008853277,0.5486174927588493,1.78,1
EPL,0.1960967037647374,0.2453615922388823,3.96,0
EPL,0.1717082873819856,0.2060209150022682,4.8,0
EPL,0.435734468031018,0.5331674734308661,1.72,1
EPL,0.2684947603986796,0.2622839990264745,4.06,0
EPL,0.2957707715703024,0.2045485275426593,5.06,0
EPL,0.2676357901693583,0.2956795263206587,3.16,0
EPL,0.2909839179150551,0.2878527153298177,3.2,1
EPL,0.4413802919155866,0.4164677583495236,2.54,0
EPL,0.2650723592871441,0.3409873708381171,3.17,0
EPL,0.2500946134085692,0.2965556831228473,3.44,1
EPL,0.4848330273042865,0.3624569460390356,2.41,0
EPL,0.4491346502344912,0.4568489678673013,2.13,1
EPL,0.2639912166138405,0.2817454729786814,3.61,0
EPL,0.2868741331516682,0.2614055591540172,3.64,0
EPL,0.6512380871564826,0.5554868050614115,1.84,0
EPL,0.1954545407312133,0.2539368251709309,3.65,0
EPL,0.1533073721123041,0.1905763697676577,4.82,1
EPL,0.2849494708720723,0.3132556998170704,2.99,0
EPL,0.2548054395738333,0.2760897693302994,3.55,1
EPL,0.4602450895540944,0.4106545308526301,2.46,0
EPL,0.096040764480047,0.1131527139776882,9.43,0
EPL,0.1415300209566177,0.1713227711634011,5.49,0
EPL,0.7624292145633352,0.7155245148589106,1.36,1
EPL,0.481074286637438,0.4529318029119281,2.32,0
EPL,0.2823514437114925,0.2955687898156389,3.31,0
EPL,0.2365742696510694,0.2514994072724331,3.47,1
EPL,0.2815852282876467,0.2637627160518557,3.56,1
EPL,0.2337031911386673,0.2458241938014777,3.68,0
EPL,0.4847115805736859,0.4904130901466665,2.13,0
EPL,0.8108877296688112,0.847494263793588,1.13,1
EPL,0.1292831696264988,0.1067490036541759,9.94,0
EPL,0.0598291007046898,0.0457567325522359,24.65,0
EPL,0.2272629870817597,0.237047039697939,3.77,0
EPL,0.2418355926976335,0.2646704074676176,3.41,1
EPL,0.5309014202206067,0.4982825528344434,2.16,0
EPL,0.3451246347117663,0.4614513739412406,2.44,1
EPL,0.2343998691849871,0.2629776647192016,3.58,0
EPL,0.4204754961032466,0.2755709613395578,3.01,0
EPL,0.1378811760048688,0.1731598313409029,6.69,0
EPL,0.1999728234458793,0.2523569635045717,3.92,0
EPL,0.6621460005492519,0.5744832051545251,1.61,1
EPL,0.3096680219804901,0.3364131614111627,2.57,0
EPL,0.2748279486412569,0.2913578272935962,3.37,0
EPL,0.415504029378253,0.3722290112952409,2.98,1
EPL,0.2380592695171934,0.2731015186455342,3.57,0
EPL,0.2351126612802198,0.263531923652564,3.66,0
EPL,0.5268280692025867,0.4633665577019016,2.13,1
EPL,0.6107198686406132,0.6023003213470403,1.66,0
EPL,0.2274922200443139,0.2339871751995696,3.94,1
