min_edge,max_edge,kelly_fraction,n_bets,win_rate,roi,max_drawdown
0.08,0.2,0.25,1103,0.5231910946196661,1.3076192256682102,0.4970000614128419
0.08,0.2,0.1,1103,0.5231910946196661,0.5837464249560382,0.2230126901850429
0.05,0.2,0.25,1935,0.5118984664198837,0.5442607011023092,0.517486356530808
0.05,0.2,0.1,1935,0.5118984664198837,0.3847170944331476,0.23813695616816
0.02,0.2,0.25,3050,0.508736559139785,0.33173464756464566,0.5629995325748518
0.02,0.2,0.1,3050,0.508736559139785,0.3190215765128944,0.2540486074428483
0.08,0.2,0.05,1103,0.5231910946196661,0.2850211618474189,0.11525181757900395
0.08,0.15,0.25,908,0.5168918918918919,0.26366944555927013,0.5956039583318402
0.05,0.2,0.05,1935,0.5118984664198837,0.20685570874750078,0.1243201679488465
0.08,0.15,0.1,908,0.5168918918918919,0.19310275652661107,0.2882929468480878
0.02,0.2,0.05,3050,0.508736559139785,0.17996506868402048,0.1314968685955721
0.08,0.15,0.05,908,0.5168918918918919,0.1074888360404118,0.15346006201529028
0.08,sin techo,0.1,1180,0.5177797051170858,0.1046013422490962,0.2886340870288269
0.08,sin techo,0.05,1180,0.5177797051170858,0.0801548732700544,0.15271448384683375
0.05,0.15,0.1,1740,0.5073486184597296,0.04316559541629658,0.24647720983275778
0.05,0.15,0.05,1740,0.5073486184597296,0.04012234493317851,0.12771910277739987
0.02,0.15,0.05,2855,0.505743000717875,0.01694678600193686,0.16631697290085284
0.05,sin techo,0.05,2012,0.5091556459816887,0.014451056403833719,0.17247196852727292
0.02,0.15,0.1,2855,0.505743000717875,-0.006325599819877993,0.3124016531341372
0.02,sin techo,0.05,3127,0.5070468698787283,-0.008152505912728316,0.1788386008361492
0.08,0.1,0.05,372,0.505524861878453,-0.009404619926463055,0.09434368700436797
0.08,0.1,0.1,372,0.505524861878453,-0.02612225437654456,0.18474593283238627
0.05,sin techo,0.1,2012,0.5091556459816887,-0.03421385075039666,0.33812903437596353
0.05,0.1,0.05,1204,0.49957446808510636,-0.06966069898652756,0.14033545449611987
0.02,sin techo,0.1,3127,0.5070468698787283,-0.0800339114185515,0.34930779094767367
0.02,0.1,0.05,2319,0.5013274336283186,-0.0903901193299331,0.14938568076280867
0.08,0.1,0.25,372,0.505524861878453,-0.11574147983207524,0.42661894239629783
0.05,0.1,0.1,1204,0.49957446808510636,-0.14850941981432392,0.26690675333529784
0.08,sin techo,0.25,1180,0.5177797051170858,-0.15065244352638946,0.6017708050412719
0.05,0.15,0.25,1740,0.5073486184597296,-0.15435135820735263,0.5417985107427007
0.02,0.1,0.1,2319,0.5013274336283186,-0.18890692403695028,0.2833990240706522
0.02,0.15,0.25,2855,0.505743000717875,-0.2707322052957911,0.6383657926567057
0.05,0.1,0.25,1204,0.49957446808510636,-0.4082534643839283,0.5668702846936725
0.05,sin techo,0.25,2012,0.5091556459816887,-0.43161591026367524,0.7243165367847073
0.02,0.1,0.25,2319,0.5013274336283186,-0.489691498660975,0.5956640331679552
0.02,sin techo,0.25,3127,0.5070468698787283,-0.5098387306715425,0.7389373079043683
