min_edge,kelly_fraction,max_odds,n_bets,final_bankroll_multiple,roi,win_rate,max_drawdown
0.12,0.25,3.0,162,1.3078936391642761,0.04490205159983272,0.4382716049382716,0.3721546207139095
0.12,0.1,3.0,162,1.2343881446880351,0.08343226771062734,0.4382716049382716,0.16815144249870678
0.08,0.1,3.0,256,1.0747672944406863,0.02105675862716768,0.421875,0.19471040081981394
0.05,0.1,3.0,358,1.0555863762067117,0.012740358989878377,0.43854748603351956,0.19952062046099261
0.02,0.1,3.0,501,1.042184784312089,0.008472617842747525,0.45708582834331335,0.22574709398299028
0.08,0.25,3.0,256,0.9164611338114972,-0.010623849001610343,0.421875,0.4230629204245995
0.05,0.25,3.0,358,0.8696959948566374,-0.01316972956834073,0.43854748603351956,0.4537184894403796
0.02,0.25,3.0,501,0.838641399839204,-0.014376831859038612,0.45708582834331335,0.4971809116827869
0.12,0.1,5.0,388,0.7957493682557085,-0.04893191073110327,0.3015463917525773,0.3131673964326853
0.08,0.1,5.0,568,0.6914096049047619,-0.06364980907117966,0.30985915492957744,0.3670537804253128
0.05,0.1,5.0,768,0.6584322587525605,-0.06135039867002327,0.3216145833333333,0.4023530411705152
0.02,0.1,5.0,1023,0.6467017044470468,-0.057621229021721045,0.3391984359726295,0.41881105950550424
0.12,0.1,sin_tope,672,0.5609752520012365,-0.08616439797129823,0.22470238095238096,0.5430349293383812
0.08,0.1,sin_tope,885,0.4822555112637039,-0.09067617564341747,0.23954802259887006,0.5947306037927392
0.05,0.1,sin_tope,1090,0.46061647808896206,-0.08595742573422731,0.25871559633027524,0.6111846504751915
0.02,0.1,sin_tope,1354,0.45898587035161303,-0.079914735682813,0.28360413589364847,0.6087514356592656
0.12,0.25,5.0,388,0.4114523166661281,-0.0745180078590159,0.3015463917525773,0.655736536666629
0.08,0.25,5.0,568,0.2853630610617223,-0.08698818056972119,0.30985915492957744,0.7320250978395011
0.05,0.25,5.0,768,0.25012457648670794,-0.08085545360672845,0.3216145833333333,0.7694556820077258
0.02,0.25,5.0,1023,0.23785778149644693,-0.07569808053485201,0.3391984359726295,0.7818372902534853
0.12,0.25,sin_tope,672,0.15774554756135808,-0.09861937876296904,0.22470238095238096,0.8844652666427747
0.08,0.25,sin_tope,885,0.10647947808279248,-0.10029185462616366,0.23954802259887006,0.9161320375431246
0.05,0.25,sin_tope,1090,0.09403643378183836,-0.09487012724122582,0.25871559633027524,0.924952348213879
0.02,0.25,sin_tope,1354,0.09270713904899,-0.08942419995645805,0.28360413589364847,0.9237289637263371
