min_edge,kelly_fraction,max_odds,n_bets,final_bankroll_multiple,roi,win_rate,max_drawdown
0.05,0.1,sin_tope,792,0.7841331072425852,-0.030539670007661952,0.28535353535353536,0.47725297785668447
0.08,0.1,sin_tope,631,0.7814752595696767,-0.03422778643941067,0.2630744849445325,0.48359906524645224
0.12,0.1,sin_tope,465,0.7731347612858596,-0.042514832221352356,0.22580645161290322,0.47981975020879086
0.12,0.1,3.0,115,0.7611935224266344,-0.15761046228000175,0.3652173913043478,0.26737168759457874
0.05,0.1,5.0,575,0.7572947091189908,-0.04568012882668268,0.34782608695652173,0.4184647012884943
0.08,0.1,3.0,203,0.7551173930452446,-0.1090873850772424,0.4187192118226601,0.2754453790895525
0.05,0.1,3.0,295,0.7548733729591838,-0.0907701879485621,0.43389830508474575,0.26599716830237224
0.08,0.1,5.0,418,0.7516101933537856,-0.05376734359729819,0.33253588516746413,0.4328746481858239
0.12,0.1,5.0,276,0.7395426496655261,-0.07146702997092291,0.2898550724637681,0.48875132221374873
0.02,0.1,3.0,454,0.7378331304660196,-0.08199372828669962,0.44493392070484583,0.27755641343888904
0.02,0.1,sin_tope,1044,0.7363843873609507,-0.03406552477891923,0.3007662835249042,0.5138407264774639
0.02,0.1,5.0,813,0.715868243192248,-0.04759199811124482,0.35424354243542433,0.4550403414344691
0.12,0.25,3.0,115,0.48210333208198825,-0.16821713889955084,0.3652173913043478,0.56099967249268
0.08,0.25,3.0,203,0.4671295543672752,-0.11646251817889228,0.4187192118226601,0.5777618275336271
0.05,0.25,3.0,295,0.46361387223346384,-0.09921915094030735,0.43389830508474575,0.566710265413115
0.02,0.25,3.0,454,0.4358523348262108,-0.08912735568272055,0.44493392070484583,0.5854870574416101
0.05,0.25,5.0,575,0.3883633900204667,-0.050603402257292124,0.34782608695652173,0.7620659891715345
0.08,0.25,5.0,418,0.38441388992081166,-0.0576689767144599,0.33253588516746413,0.773379763166055
0.12,0.25,5.0,276,0.37493450224315994,-0.07084096906659433,0.2898550724637681,0.8198428362388687
0.08,0.25,sin_tope,631,0.371080674380658,-0.041794682793989305,0.2630744849445325,0.826685614667952
0.05,0.25,sin_tope,792,0.3710736776732873,-0.0386273826351488,0.28535353535353536,0.8224755662729567
0.12,0.25,sin_tope,465,0.36701306572494785,-0.04832706533951256,0.22580645161290322,0.8262547520930478
0.02,0.25,5.0,813,0.3356617764813841,-0.04943611292384206,0.35424354243542433,0.7985825298145341
0.02,0.25,sin_tope,1044,0.31550118147191475,-0.038892580777601486,0.3007662835249042,0.8525364841785779
