min_edge,kelly_fraction,max_odds,n_bets,final_bankroll_multiple,roi,win_rate,max_drawdown
0.08,0.1,3.0,254,1.003710276063241,0.0012144863175234653,0.468503937007874,0.1347740694950517
0.02,0.1,3.0,529,0.9902158689296331,-0.0022248991693351273,0.4725897920604915,0.1576169925002564
0.05,0.1,3.0,368,0.9788981495531749,-0.005477388881041646,0.46195652173913043,0.1783792554649054
0.08,0.25,3.0,254,0.9022925863405566,-0.013792454606212727,0.468503937007874,0.29904076391291173
0.02,0.1,5.0,1015,0.8640264564826735,-0.021396985304764003,0.36354679802955664,0.272734976250483
0.02,0.25,3.0,529,0.8611328062075956,-0.013859497759173414,0.4725897920604915,0.3684269705145973
0.05,0.1,5.0,725,0.8512799537354822,-0.02604114678624594,0.3503448275862069,0.2992405532099254
0.08,0.1,5.0,522,0.8509749674873293,-0.031741580209023026,0.34099616858237547,0.2584633814393436
0.12,0.1,3.0,139,0.8489317494645132,-0.07932592357778565,0.41007194244604317,0.2042395792373815
0.05,0.25,3.0,368,0.8401180484854301,-0.017544047409420817,0.46195652173913043,0.4089296676620223
0.12,0.1,5.0,331,0.7646902411620398,-0.07162918183248965,0.30513595166163143,0.27210465459480254
0.08,0.1,sin_tope,738,0.734717444655725,-0.05173298546330906,0.2696476964769648,0.3079769506820323
0.05,0.1,sin_tope,967,0.7345514229857792,-0.042826269589924235,0.28645294725956566,0.36837792279038
0.02,0.1,sin_tope,1257,0.7162742203407402,-0.04277175055430332,0.3015115354017502,0.3569839362280584
0.12,0.1,sin_tope,526,0.6832589531331967,-0.08294806197661658,0.23574144486692014,0.3422407955632124
0.12,0.25,3.0,139,0.6043156073064239,-0.09810311922382675,0.41007194244604317,0.47573376504594755
0.02,0.25,5.0,1015,0.5627055618078287,-0.03243971381769831,0.36354679802955664,0.5771032162889406
0.08,0.25,5.0,522,0.5507713054427597,-0.044677769119849164,0.34099616858237547,0.5509909435268359
0.05,0.25,5.0,725,0.5449195341871887,-0.03626448696899927,0.3503448275862069,0.6135673383942594
0.12,0.25,5.0,331,0.43084389581245264,-0.08635352681300215,0.30513595166163143,0.6055821404475353
0.08,0.25,sin_tope,738,0.3633220421046679,-0.06634773564089384,0.2696476964769648,0.6643539725685662
0.05,0.25,sin_tope,967,0.35885800732044004,-0.05261077375257259,0.28645294725956566,0.7084448565668747
0.02,0.25,sin_tope,1257,0.33533077816301804,-0.05438986135245216,0.3015115354017502,0.6958747633721368
0.12,0.25,sin_tope,526,0.30957586314964963,-0.10138000747864057,0.23574144486692014,0.7135656948537356
