min_edge,kelly_fraction,max_odds,n_bets,final_bankroll_multiple,roi,win_rate,max_drawdown
0.02,0.1,3.0,508,0.8425662940248434,-0.036027155067463255,0.4704724409448819,0.3622870800540727
0.05,0.1,3.0,362,0.8143774813726654,-0.04956085988117837,0.45027624309392267,0.3803124390193411
0.12,0.1,3.0,129,0.7993724990102054,-0.12267447023553626,0.37209302325581395,0.31425856089543586
0.08,0.1,3.0,241,0.7807545233923632,-0.07810078540407418,0.4190871369294606,0.3794105562381221
0.02,0.1,5.0,999,0.681025459010992,-0.05117142421948641,0.36236236236236236,0.4727066122444173
0.12,0.1,5.0,350,0.6525828862960401,-0.10943622715572011,0.28,0.46685961767543294
0.05,0.1,5.0,750,0.6451967041579447,-0.06421051388742648,0.33866666666666667,0.4964007635433474
0.08,0.1,5.0,544,0.6168553555086415,-0.08564265643334146,0.31066176470588236,0.5021303918463393
0.02,0.25,3.0,508,0.6163097486212175,-0.032961706281797606,0.4704724409448819,0.6798141649545916
0.05,0.25,3.0,362,0.5680087911367426,-0.043622790162652,0.45027624309392267,0.7055757613559078
0.12,0.25,3.0,129,0.5576939017537518,-0.11847477282303631,0.37209302325581395,0.6098321826811565
0.12,0.1,sin_tope,589,0.5226217523736061,-0.11222308446194233,0.20203735144312393,0.5698462048544946
0.08,0.25,3.0,241,0.5162496624285129,-0.06792797722689654,0.4190871369294606,0.7007694252825972
0.02,0.1,sin_tope,1318,0.49715121183082983,-0.06901824752703052,0.2860394537177542,0.6197979526407732
0.05,0.1,sin_tope,1056,0.4841326594567455,-0.07768235951966194,0.26136363636363635,0.6283905587643247
0.08,0.1,sin_tope,828,0.4833681603258855,-0.09107246095886706,0.23429951690821257,0.6242427563183333
0.02,0.25,5.0,999,0.3146704863275208,-0.04982248669547831,0.36236236236236236,0.8300652546964725
0.12,0.25,5.0,350,0.2943844384523799,-0.10822482046496743,0.28,0.8188187403511412
0.05,0.25,5.0,750,0.2761023171738593,-0.059664134353680655,0.33866666666666667,0.8481954485908847
0.08,0.25,5.0,544,0.24987540655313129,-0.0787532254148637,0.31066176470588236,0.8505930778946278
0.12,0.25,sin_tope,589,0.1540290418722319,-0.09812564031437848,0.20203735144312393,0.8972056508584506
0.02,0.25,sin_tope,1318,0.13053326863606834,-0.05555154503271819,0.2860394537177542,0.9270468234012704
0.08,0.25,sin_tope,828,0.12369490475974422,-0.07208085059436271,0.23429951690821257,0.9280710791713228
0.05,0.25,sin_tope,1056,0.12267097363013704,-0.06121105633036389,0.26136363636363635,0.930864896694997
