league_key,periodo,tenure_group,n_bets,win_rate,flat_roi_per_bet
EPL,Recientes,tenure_bajo,0,,
EPL,Recientes,tenure_alto,98,0.4489795918367347,0.04357142857142857
EPL,Resto,tenure_bajo,93,0.44086021505376344,-0.00397849462365592
EPL,Resto,tenure_alto,65,0.35384615384615387,-0.19215384615384615
EPL,Recientes,PCT_TENURE_BAJO,98,0.0,
EPL,Resto,PCT_TENURE_BAJO,158,0.5886075949367089,
LALIGA,Recientes,tenure_bajo,14,0.42857142857142855,0.030714285714285725
LALIGA,Recientes,tenure_alto,92,0.4673913043478261,0.10206521739130435
LALIGA,Resto,tenure_bajo,95,0.47368421052631576,0.060210526315789444
LALIGA,Resto,tenure_alto,53,0.4716981132075472,0.0647169811320755
LALIGA,Recientes,PCT_TENURE_BAJO,106,0.1320754716981132,
LALIGA,Resto,PCT_TENURE_BAJO,148,0.6418918918918919,
SERIEA,Recientes,tenure_bajo,6,0.5,0.16333333333333325
SERIEA,Recientes,tenure_alto,107,0.3364485981308411,-0.24747663551401872
SERIEA,Resto,tenure_bajo,48,0.625,0.4627083333333333
SERIEA,Resto,tenure_alto,80,0.4,-0.102625
SERIEA,Recientes,PCT_TENURE_BAJO,113,0.05309734513274336,
SERIEA,Resto,PCT_TENURE_BAJO,128,0.375,
BUNDESLIGA,Recientes,tenure_bajo,5,0.4,-0.11000000000000006
BUNDESLIGA,Recientes,tenure_alto,85,0.3411764705882353,-0.22764705882352942
BUNDESLIGA,Resto,tenure_bajo,52,0.38461538461538464,-0.04942307692307691
BUNDESLIGA,Resto,tenure_alto,61,0.5573770491803278,0.15409836065573773
BUNDESLIGA,Recientes,PCT_TENURE_BAJO,90,0.05555555555555555,
BUNDESLIGA,Resto,PCT_TENURE_BAJO,113,0.46017699115044247,
