league_key,temporada,n_bets,win_rate,roi
EPL,2122,89,0.4606741573033708,0.1461098452933261
EPL,2223,69,0.3333333333333333,-0.15326303297977836
EPL,2324,34,0.5588235294117647,0.319320705409533
EPL,2425,43,0.4418604651162791,0.012437000853611022
EPL,2526,21,0.2857142857142857,-0.39986443637531954
EPL,PRIMERA_MITAD,158,0.4050632911392405,0.02735583309215705
EPL,SEGUNDA_MITAD,98,0.4489795918367347,0.009631792334512257
EPL,TOTAL,256,0.421875,0.021089385122251156
LALIGA,2122,90,0.4666666666666667,-0.02989523507064891
LALIGA,2223,58,0.4827586206896552,0.05081814755929164
LALIGA,2324,51,0.45098039215686275,0.004567389697990405
LALIGA,2425,40,0.525,0.04650438512795233
LALIGA,2526,15,0.3333333333333333,-0.12455697934254778
LALIGA,PRIMERA_MITAD,148,0.47297297297297297,-0.002668207034280684
LALIGA,SEGUNDA_MITAD,106,0.46226415094339623,0.007505748187109493
LALIGA,TOTAL,254,0.468503937007874,0.001214249157810554
SERIEA,2122,44,0.5909090909090909,0.2286388857368615
SERIEA,2223,84,0.42857142857142855,-0.08680876634733899
SERIEA,2324,37,0.35135135135135137,-0.17534544820420622
SERIEA,2425,50,0.4,-0.18107162390523399
SERIEA,2526,26,0.23076923076923078,-0.47116630600116394
SERIEA,PRIMERA_MITAD,128,0.484375,0.025684014378426143
SERIEA,SEGUNDA_MITAD,113,0.34513274336283184,-0.2277940090438358
SERIEA,TOTAL,241,0.4190871369294606,-0.07811788558435219
BUNDESLIGA,2122,49,0.3877551020408163,-0.13526549936467844
BUNDESLIGA,2223,64,0.546875,0.06672417531182748
BUNDESLIGA,2324,41,0.34146341463414637,-0.28856702231382797
BUNDESLIGA,2425,35,0.4,-0.19807943527706673
BUNDESLIGA,2526,14,0.21428571428571427,-0.4574685243119329
BUNDESLIGA,PRIMERA_MITAD,113,0.4778761061946903,-0.014158528322849893
BUNDESLIGA,SEGUNDA_MITAD,90,0.34444444444444444,-0.27048188425030717
BUNDESLIGA,TOTAL,203,0.4187192118226601,-0.10908423264274023
