group,naive_prob,actual_hit,cross_league,leagues
2022-W16,0.5878027054536188,False,True,EPL+LALIGA
2022-W34,0.5539203378876648,False,True,BUNDESLIGA+EPL+LALIGA
2022-W45,0.5568116169140431,False,True,BUNDESLIGA+EPL+LALIGA
2022-W45,0.5618552036140708,False,True,BUNDESLIGA+EPL+LALIGA
2022-W45,0.5914747322639077,False,True,BUNDESLIGA+EPL
2022-W45,0.5769493148081236,True,True,BUNDESLIGA+LALIGA
2023-W38,0.6030518898630585,True,True,BUNDESLIGA+EPL
2024-W06,0.5493457168467113,False,True,EPL+LALIGA
2024-W15,0.585821412716,False,True,BUNDESLIGA+EPL+SERIEA
2024-W20,0.5607354536163803,True,True,EPL+LALIGA
2024-W20,0.5870056044529383,True,True,BUNDESLIGA+EPL
2024-W20,0.5693640891566332,True,True,BUNDESLIGA+EPL+LALIGA
2024-W20,0.6028874249577666,True,True,BUNDESLIGA+EPL+LALIGA
2023-W17,0.6048591163946481,False,True,BUNDESLIGA+LALIGA+SERIEA
2024-W44,0.5541420988708013,True,True,BUNDESLIGA+LALIGA+SERIEA
2025-W03,0.5516812851941446,True,True,BUNDESLIGA+LALIGA
2025-W13,0.5765694835549245,True,True,BUNDESLIGA+LALIGA
2024-W49,0.5757897066626355,True,True,BUNDESLIGA+SERIEA
