league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
LALIGA,0.06,0.05,sin techo,334,-0.004363405321192329,992.1522629969401,0.08697059826013305,0.46107784431137727
LALIGA,0.06,0.05,20%,285,0.07384145090978997,1105.1091007433458,0.05153046519239154,0.48771929824561405
LALIGA,0.06,0.05,25%,314,0.008378007064639025,1013.3857421984995,0.06722529445778934,0.4681528662420382
LALIGA,0.06,0.05,30%,331,-0.003367196575354174,994.0933117795262,0.07785535319391226,0.4622356495468278
LALIGA,0.06,0.05,35%,333,0.0011494488354795147,1002.057432538017,0.07785535319391358,0.4624624624624625
LALIGA,0.06,0.05,40%,334,-0.004363405321192329,992.1522629969401,0.08697059826013305,0.46107784431137727
LALIGA,0.06,0.1,sin techo,334,-0.007831392988954597,971.7480426774454,0.1703008151339698,0.46107784431137727
LALIGA,0.06,0.1,20%,285,0.0707902886668462,1211.6231183326774,0.10068935576248486,0.48771929824561405
LALIGA,0.06,0.1,25%,314,0.005087479549839255,1016.1992841379963,0.13100063789695635,0.4681528662420382
LALIGA,0.06,0.1,30%,331,-0.006878640884469667,975.9604799986912,0.15356712124178148,0.4622356495468278
LALIGA,0.06,0.1,35%,333,-0.002408354349874249,991.346632844945,0.15356712124178126,0.4624624624624625
LALIGA,0.06,0.1,40%,334,-0.007831392988954597,971.7480426774454,0.1703008151339698,0.46107784431137727
LALIGA,0.06,0.15,sin techo,334,-0.011202091311460763,939.5733299259981,0.2495769702919666,0.46107784431137727
LALIGA,0.06,0.15,20%,285,0.06769052155956937,1317.926292650115,0.1475732696834285,0.48771929824561405
LALIGA,0.06,0.15,25%,314,0.0017630783623042356,1008.3495504307052,0.19142034941066952,0.4681528662420382
LALIGA,0.06,0.15,30%,331,-0.010348566819197666,946.2759923544402,0.22664347183642342,0.4622356495468278
LALIGA,0.06,0.15,35%,333,-0.005898056202827516,968.2874053976839,0.2266434718364235,0.4624624624624625
LALIGA,0.06,0.15,40%,334,-0.011202091311460763,939.5733299259981,0.2495769702919666,0.46107784431137727
LALIGA,0.06,0.2,sin techo,334,-0.01590212537058048,888.1254086470698,0.3302000527541715,0.46107784431137727
LALIGA,0.06,0.2,20%,285,0.06314788381153782,1408.1998744228817,0.1922753637433657,0.48771929824561405
LALIGA,0.06,0.2,25%,314,-0.0017048499565880443,989.4265830164268,0.24590014557570206,0.4681528662420382
LALIGA,0.06,0.2,30%,331,-0.014359762680403062,902.8488942442133,0.3026263674977668,0.4622356495468278
LALIGA,0.06,0.2,35%,333,-0.01073178549134458,924.6869082216024,0.30262636749776645,0.4624624624624625
LALIGA,0.06,0.2,40%,334,-0.01590212537058048,888.1254086470698,0.3302000527541715,0.46107784431137727
LALIGA,0.06,0.25,sin techo,334,-0.02086549318647707,826.231129606963,0.3938592540511969,0.46107784431137727
LALIGA,0.06,0.25,20%,285,0.059313951375603295,1488.6426625337292,0.23272656069479364,0.48771929824561405
LALIGA,0.06,0.25,25%,314,-0.003918717566545907,970.3140418960215,0.2941826838398013,0.4681528662420382
LALIGA,0.06,0.25,30%,331,-0.017884098123722734,855.7253955307816,0.3623436227063711,0.4622356495468278
LALIGA,0.06,0.25,35%,333,-0.01573523580116061,869.1901219867809,0.3623436227063711,0.4624624624624625
LALIGA,0.06,0.25,40%,334,-0.02086549318647707,826.231129606963,0.3938592540511969,0.46107784431137727
LALIGA,0.08,0.05,sin techo,254,0.005173501648665327,1007.8576021375819,0.06918311664703089,0.468503937007874
LALIGA,0.08,0.05,20%,205,0.10836221189966345,1122.6024975352404,0.05225156719667937,0.5073170731707317
LALIGA,0.08,0.05,25%,234,0.02231465257765037,1029.4271980869744,0.06117347078636307,0.47863247863247865
LALIGA,0.08,0.05,30%,251,0.006660650872249502,1009.8293768788284,0.06822572998289123,0.4701195219123506
LALIGA,0.08,0.05,35%,253,0.011867709074245558,1017.9195662077748,0.06822572998289123,0.47035573122529645
LALIGA,0.08,0.05,40%,254,0.005173501648665327,1007.8576021375819,0.06918311664703089,0.468503937007874
LALIGA,0.08,0.1,sin techo,254,0.0012144863175234653,1003.7102760632409,0.1347740694950517,0.468503937007874
LALIGA,0.08,0.1,20%,205,0.10543856318393263,1251.4751984841023,0.10220647844159472,0.5073170731707317
LALIGA,0.08,0.1,25%,234,0.01883832451868949,1049.6235847381859,0.1192477544430737,0.47863247863247865
LALIGA,0.08,0.1,30%,251,0.002735184960424539,1008.0612666913859,0.13283122331453648,0.4701195219123506
LALIGA,0.08,0.1,35%,253,0.007880648411989622,1023.9534929091128,0.13283122331453648,0.47035573122529645
LALIGA,0.08,0.1,40%,254,0.0012144863175234653,1003.7102760632409,0.1347740694950517,0.468503937007874
LALIGA,0.08,0.15,sin techo,254,-0.0026802813114033277,987.7188730327007,0.19686119705344227,0.468503937007874
LALIGA,0.08,0.15,20%,205,0.10244227903346469,1385.459368689256,0.14994322887931533,0.5073170731707317
LALIGA,0.08,0.15,25%,234,0.01527809360436715,1060.019319250889,0.17542495543923547,0.47863247863247865
LALIGA,0.08,0.15,30%,251,-0.001192492662683965,994.7649927652187,0.1939287376730748,0.4701195219123506
LALIGA,0.08,0.15,35%,253,0.003924276983728777,1017.9043129145483,0.1939287376730748,0.47035573122529645
LALIGA,0.08,0.15,40%,254,-0.0026802813114033277,987.7188730327007,0.19686119705344227,0.468503937007874
LALIGA,0.08,0.2,sin techo,254,-0.00816432096403346,951.1308354777495,0.25553890181678035,0.468503937007874
LALIGA,0.08,0.2,20%,205,0.09778479140277728,1508.1004439675419,0.19553870745408772,0.5073170731707317
LALIGA,0.08,0.2,25%,234,0.011570361983592388,1059.6185216476354,0.22380810743982374,0.47863247863247865
LALIGA,0.08,0.2,30%,251,-0.005776109544521308,966.8988351552828,0.24896160963898326,0.4701195219123506
LALIGA,0.08,0.2,35%,253,-0.0016285334515153892,990.2860823585011,0.24896160963898326,0.47035573122529645
LALIGA,0.08,0.2,40%,254,-0.00816432096403346,951.1308354777495,0.25553890181678035,0.468503937007874
LALIGA,0.08,0.25,sin techo,254,-0.013792454606212727,902.2925863405567,0.29904076391291173,0.468503937007874
LALIGA,0.08,0.25,20%,205,0.09422583212787168,1625.6846177575067,0.23692108181254162,0.5073170731707317
LALIGA,0.08,0.25,25%,234,0.009468739376425039,1059.6395306981428,0.2639736859572112,0.47863247863247865
LALIGA,0.08,0.25,30%,251,-0.009585294876025875,934.502045085204,0.2985562568573525,0.4701195219123506
LALIGA,0.08,0.25,35%,253,-0.007189976719545942,949.2063117522454,0.2985562568573525,0.47035573122529645
LALIGA,0.08,0.25,40%,254,-0.013792454606212727,902.2925863405567,0.29904076391291173,0.468503937007874
LALIGA,0.1,0.05,sin techo,201,-0.031089152158802646,960.2881652528109,0.07688249561258394,0.43781094527363185
LALIGA,0.1,0.05,20%,152,0.07835110308447098,1069.6172657525665,0.05059855997350318,0.48026315789473684
LALIGA,0.1,0.05,25%,181,-0.017669329098223295,980.8397071328898,0.06936162112006529,0.44751381215469616
